JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobLink_norm
"Cornell University - Lecturer/Senior Lecturer, Writing - OFFER ACCEPTED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Cornell University - Lecturer/Senior Lecturer, Writing in the Disciplines - OFFER MADE & ACCEPTED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Creighton University - Assistant Professor (2 positions) - BOTH POSITIONS FILLED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Curry College - Assistant Professor - Rhetoric and Composition - CAMPUS VISITS SCHEDULED,2011,http://curry.interviewexchange.com/static/clients/402CCM1/index.jsp | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://curry.interviewexchange.com/static/clients/402CCM1/index.jsp | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"DePaul University - Assistant Professor, Rhetoric and New Media/Digital Studies - SECOND OFFER ACCEPTED",2011,http://facultyopportunities.depaul.edu/applicants/Central?quickFind=50874 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://facultyopportunities.depaul.edu/applicants/Central?quickFind=50874 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Drew University - Post Doc - Composition,2011,mailto:HR512-1@drew.edu,Unknown,Rhetoric/Composition,Wiki,mailto:HR512-1@drew.edu
"Duke University Thompson Writing Program, Lecturing Fellows",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Postdoc,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"East Carolina University - Assistant Professor, Technical and Professional Communication (2 positions) - ONE OFFER ACCEPTED",2011,http://www.ecu.edu/english | https://ecu.peopleadmin.com/applicants/Central?quickFind=67021 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.ecu.edu/english | https://ecu.peopleadmin.com/applicants/Central?quickFind=67021 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"East Carolina University - Assistant Professor, Writing Center Coordinator - OFFER ACCEPTED",2011,https://ecu.peopleadmin.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1320245341325 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://ecu.peopleadmin.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1320245341325 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"East Carolina University - Associate/Full Professor, Writing Program Director",2011,https://ecu.peopleadmin.com/applicants/Central?quickFind=66905 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://ecu.peopleadmin.com/applicants/Central?quickFind=66905 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Eastern Connecticut State University - Asst. Professor, Feminist and Digital Rhetorics - SEARCH CANCELED",2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175574489&Title=Assistant%20Professor%20of%20English%20%2D%20Feminist%20and%20Digital%20Rhetorics | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175574489&Title=Assistant%20Professor%20of%20English%20%2D%20Feminist%20and%20Digital%20Rhetorics | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Eastern Michigan University - Assistant Professor - SEARCH REOPENED,2011,http://careers.insidehighered.com/eastern-michigan-university/assistant-professor-composition-amp-rhetoric/job/372423 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://careers.insidehighered.com/eastern-michigan-university/assistant-professor-composition-amp-rhetoric/job/372423 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Eastern New Mexico State University - Assistant Professor - POSITION FILLED,2011,http://chronicle.com/jobs/0000695427-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000695427-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Embry Riddle Aeronautical University, Prescott AZ - Assistant/Associate Professor Technical Writing",2011,http://chronicle.com/jobs/0000706278-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000706278-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Emerson College - Lecturer, First Year Writing Program - DEADLINE PASSED",2011,http://www.emerson.edu/jobs | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,http://www.emerson.edu/jobs | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Emmanuel College (Boston, MA) - VAP - Generalist in Communication",2011,http://emmanuel.interviewexchange.com/jobofferdetails.jsp?JOBID=28147 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://emmanuel.interviewexchange.com/jobofferdetails.jsp?JOBID=28147 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Emory University - Associate / Full Professor, Director of College Writing - DEADLINE PASSED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Emory University, Oxford College - Asst. / Assoc. Professor of Lit. & Composition - POSITION FILLED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Emporia State University - Assistant Professor - CAMPUS INTERVIEWS SCHEDULED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Erie Community College (SUNY)-Full Time Instructor,2011,,Non-TT,Rhetoric/Composition,Wiki,
Erskine College- Assistant/Associate Professor and Writing Seminar Director,2011,http://www.erskine.edu/faculty-staff/jobsHR.html | http://www.insidehighered.com/news/2011/09/08/english_professor_at_erskine_known_for_defending_science_is_fired | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.erskine.edu/faculty-staff/jobsHR.html | http://www.insidehighered.com/news/2011/09/08/english_professor_at_erskine_known_for_defending_science_is_fired | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Farmingdale State College (SUNY) - Assistant Professor, Composition and Rhetoric - OFFER MADE & ACCEPTED",2011,http://farmingdale.interviewexchange.com/ | http://careers.insidehighered.com/farmingdale-state-college/assistant-professor-english/job/379350 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://farmingdale.interviewexchange.com/ | http://careers.insidehighered.com/farmingdale-state-college/assistant-professor-english/job/379350 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Fayetteville State University - Assistant Professor - CAMPUS VISITS SCHEDULED,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566021&Title=Assistant%20Professor%20of%20Composition%2F%20Rhetoric | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566021&Title=Assistant%20Professor%20of%20Composition%2F%20Rhetoric | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Fayetteville State University - Assistant Professor (Professional Writing) - OFFER MADE & REJECTED,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566036&Title=Assistant%20Professor%20of%20Composition%2FProfessional%20Writing | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175566036&Title=Assistant%20Professor%20of%20Composition%2FProfessional%20Writing | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Ferris State University - Department Head - DEADLINE PASSED,2011,http://employment.ferris.edu/applicants/Central?quickFind=51246 | http://wpacouncil.org/node/3407 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,http://employment.ferris.edu/applicants/Central?quickFind=51246 | http://wpacouncil.org/node/3407 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Florida Gulf Coast University - Composition Instructor - DEADLINE PASSED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Non-TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Florida International University - Assistant Professor of Writing and Rhetoric - CAMPUS INTERVIEWS SCHEDULED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Florida International University - Instructor in Writing and Rhetoric (NTT),2011,http://chronicle.com/jobs/0000707715-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000707715-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
"Florida State University - Asst. Professor, History of Rhetoric - OFFER ACCEPTED",2011,,TT,Rhetoric/Composition,Wiki,
"Francis Marion University, Assistant Professor, Writing Studies - POSITION FILLED",2011,http://images.acswednetworks.com/2017/77/FacandotherspecApplication.pdf | http://www.fmarion.edu/about/hrlinks,TT,Rhetoric/Composition,Wiki,http://images.acswednetworks.com/2017/77/FacandotherspecApplication.pdf | http://www.fmarion.edu/about/hrlinks
Frostburg State University - Assistant Professor of English (Advanced Composition) - OFFER ACCEPTED,2011,http://www.frostburg.edu/about.cfm,TT,Rhetoric/Composition,Wiki,http://www.frostburg.edu/about.cfm
George Mason University - Director of Writing Across the Curriculum (Associate) - DEADLINE PASSED,2011,http://jobs.gmu.edu/,TT,Rhetoric/Composition,Wiki,http://jobs.gmu.edu/
"George Washington University - Executive Director, University Writing Program - DEADLINE PASSED",2011,http://www.gwu.edu/~uwp/ | http://chronicle.com/jobs/0000697209-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://www.gwu.edu/~uwp/ | http://chronicle.com/jobs/0000697209-01/ | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
Georgetown University - Open Rank - OFFER ACCEPTED,2011,,Unknown,Rhetoric/Composition,Wiki,
"Georgia Gwinnett College - Open Rank, Composition and Liberal Arts Core",2011,,Unknown,Rhetoric/Composition,Wiki,
Georgia Southern University - Assistant Professor - OFFER ACCEPTED,2011,http://class.georgiasouthern.edu/writing | http://class.georgiasouthern.edu/pdf/59339.pdf | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,TT,Rhetoric/Composition,Wiki,http://class.georgiasouthern.edu/writing | http://class.georgiasouthern.edu/pdf/59339.pdf | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top
