JobTitle,JobYear,JobLink,JobType,JobField,JobSource,JobLink_norm,FieldAlias,Count
"Norfolk State University, (Norfolk, VA)",2010,http://www.nsu.edu/jobs/index2.php?id=385,Unknown,Rhetoric/Composition,Wiki,http://www.nsu.edu/jobs/index2.php?id=385,Rhetoric/Composition,2443
"Northeastern University (Boston, MA)",2010,http://www.wpacouncil.org/node/2896 | http://www.english.neu.edu/writingcenter/%29. | http://www.northeastern.edu/cssh/,Unknown,Rhetoric/Composition,Wiki,http://www.wpacouncil.org/node/2896 | http://www.english.neu.edu/writingcenter/%29. | http://www.northeastern.edu/cssh/,Rhetoric/Composition,2443
Northwestern College (Minnesota),2010,http://chronicle.com/jobs/0000642523-01 | http://www.nwc.edu/web/guest/declaration-of-christian-community,Unknown,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000642523-01 | http://www.nwc.edu/web/guest/declaration-of-christian-community,Rhetoric/Composition,2443
Regis University (CO),2010,mailto:dhicks@regis.edu | https://jobs.regis.edu/,Unknown,Rhetoric/Composition,Wiki,mailto:dhicks@regis.edu | https://jobs.regis.edu/,Rhetoric/Composition,2443
Russell Sage College,2010,http://www.sage.edu/ | http://chronicle.com/jobs/0000651965-01/,Unknown,Rhetoric/Composition,Wiki,http://www.sage.edu/ | http://chronicle.com/jobs/0000651965-01/,Rhetoric/Composition,2443
St. John's University (NY),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175485671,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175485671,Rhetoric/Composition,2443
Unity College (Maine),2010,http://www.interviewexchange.com/jobofferdetails.jsp?JOBID=21946,Unknown,Rhetoric/Composition,Wiki,http://www.interviewexchange.com/jobofferdetails.jsp?JOBID=21946,Rhetoric/Composition,2443
"University of California, Irvine",2010,https://recruit.ap.uci.edu/ | http://chronicle.com/jobs/0000653704-01/ | http://www.uci.edu/employment | https://h-net.org/jobs/job_display.php?id=41700,Unknown,Rhetoric/Composition,Wiki,https://recruit.ap.uci.edu/ | http://chronicle.com/jobs/0000653704-01/ | http://www.uci.edu/employment | https://h-net.org/jobs/job_display.php?id=41700,Rhetoric/Composition,2443
"University of Central Oklahoma (Edmond, OK)",2010,http://www.higheredjobs.com/details.cfm?JobCode=175456973,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/details.cfm?JobCode=175456973,Rhetoric/Composition,2443
University of Georgia,2010,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
University of Michigan (Ann Arbor),2010,http://www.wpacouncil.org/node/2778,Unknown,Rhetoric/Composition,Wiki,http://www.wpacouncil.org/node/2778,Rhetoric/Composition,2443
"University of Missouri, Columbia",2010,http://cwp.missouri.edu/ | mailto:MUCWPdirectorsearch@missouri.edu,Unknown,Rhetoric/Composition,Wiki,http://cwp.missouri.edu/ | mailto:MUCWPdirectorsearch@missouri.edu,Rhetoric/Composition,2443
Southern Illinois University Carbondale,2010,http://chronicle.com/jobs/0000683160-01/,Unknown,Rhetoric/Composition,Wiki,http://chronicle.com/jobs/0000683160-01/,Rhetoric/Composition,2443
Utah Valley University (2 tenure-track positions),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175470532,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175470532,Rhetoric/Composition,2443
Washburn University (KS),2010,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175479993,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175479993,Rhetoric/Composition,2443
American University of Beirut - Faculty position in Rhetoric/Composition - POSITION FILLED,2011,http://www.aub.edu.lb/fas | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,http://www.aub.edu.lb/fas | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Rhetoric/Composition,2443
"Brigham Young - Open Rank, Open Area - INTERVIEWS SCHEDULED",2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Rhetoric/Composition,2443
Colby College - Writing Program Administrator - PHONE INTERVIEW SCHEDULED,2011,mailto:ColbyWritingProgramDirectorsearch@colby.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175567175&Title=Director%20of%20Colby%20Writing%20Program,Unknown,Rhetoric/Composition,Wiki,mailto:ColbyWritingProgramDirectorsearch@colby.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175567175&Title=Director%20of%20Colby%20Writing%20Program,Rhetoric/Composition,2443
Drew University - Post Doc - Composition,2011,mailto:HR512-1@drew.edu,Unknown,Rhetoric/Composition,Wiki,mailto:HR512-1@drew.edu,Rhetoric/Composition,2443
Ferris State University - Department Head - DEADLINE PASSED,2011,http://employment.ferris.edu/applicants/Central?quickFind=51246 | http://wpacouncil.org/node/3407 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,http://employment.ferris.edu/applicants/Central?quickFind=51246 | http://wpacouncil.org/node/3407 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Rhetoric/Composition,2443
Georgetown University - Open Rank - OFFER ACCEPTED,2011,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
"Georgia Gwinnett College - Open Rank, Composition and Liberal Arts Core",2011,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
Harvard University - College Writing Program Preceptor - CAMPUS INTERVIEWS SCHEDULED,2011,http://academicpositions.harvard.edu/postings/3804,Unknown,Rhetoric/Composition,Wiki,http://academicpositions.harvard.edu/postings/3804,Rhetoric/Composition,2443
Mesa Community College - Tenure Track (3 Positions) - DEADLINE PASSED,2011,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Rhetoric/Composition,2443
Metro State College of Denver - English Tenure-Track Faculty and Composition Coordinator,2011,https://www.mscdjobs.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1320072835930 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Unknown,Rhetoric/Composition,Wiki,https://www.mscdjobs.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1320072835930 | https://academicjobs.wikia.org/index.php?title=Rhetoric/Composition_2012#top,Rhetoric/Composition,2443
Clemson University (SC) - Adv. Asst / Associate Prof - Writing Across the Curriculum - FULL CONSIDERATION DEADLINE PASSED,2012,https://secure.interfolio.com/apply/19689,Unknown,Rhetoric/Composition,Wiki,https://secure.interfolio.com/apply/19689,Rhetoric/Composition,2443
Nova Southeeastern University - Writing/Composition Faculty [NTT] - OFFER MADE,2012,https://www.nsujobs.com/,Unknown,Rhetoric/Composition,Wiki,https://www.nsujobs.com/,Rhetoric/Composition,2443
Southern Connecticut State University - Asst. or Assoc. Prof. - Composition - OFFER ACCEPTED,2012,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175681889&Title=English%20%2D%20Asst%20or%20Assoc%2E%20Professor,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175681889&Title=English%20%2D%20Asst%20or%20Assoc%2E%20Professor,Rhetoric/Composition,2443
"University of Waterloo - Open Rank, Writing Studies - CAMPUS INTERVIEWS SCHEDULED",2012,http://www.stratfordcampus.uwaterloo.ca/programs/mdei,Unknown,Rhetoric/Composition,Wiki,http://www.stratfordcampus.uwaterloo.ca/programs/mdei,Rhetoric/Composition,2443
"Yale-NUS-College - Open Rank, Head of Writing across the Curriculum - REVIEW UNDERWAY",2012,http://www.yale-nus.edu.sg/prospective-faculty.html | https://secure.interfolio.com/apply/20672 | https://academicjobsonline.org/ajo/jobs/2079 | http://chronicle.com/article/AAUP-Outlines-Concerns-About/136121/?cid=at&utm_source=at&utm_medium=en,Unknown,Rhetoric/Composition,Wiki,http://www.yale-nus.edu.sg/prospective-faculty.html | https://secure.interfolio.com/apply/20672 | https://academicjobsonline.org/ajo/jobs/2079 | http://chronicle.com/article/AAUP-Outlines-Concerns-About/136121/?cid=at&utm_source=at&utm_medium=en,Rhetoric/Composition,2443
Harvard U. - Preceptor in Expository Writing for Harvard College Writing Program (Jan. 7 Deadline) - INTERVIEWS REQUESTED,2012,http://academicpositions.harvard.edu/postings/4429 | http://academicpositions.harvard.edu/postings/4429willbeaccepted | http://chronicle.com/jobs/0000757205-01/,Unknown,Rhetoric/Composition,Wiki,http://academicpositions.harvard.edu/postings/4429 | http://academicpositions.harvard.edu/postings/4429willbeaccepted | http://chronicle.com/jobs/0000757205-01/,Rhetoric/Composition,2443
"Hesston College (Hesston, KS) -- Full-Time, Year-to-year Contract English Faculty",2012,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
Manhattan College  (NY) - 2 VAPs in Teaching Writing,2012,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175710108&Title=Two%20Full%2Dtime%20Visiting%20Positions%20in%20Teaching%20Writing,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175710108&Title=Two%20Full%2Dtime%20Visiting%20Positions%20in%20Teaching%20Writing,Rhetoric/Composition,2443
Harvard College Writing Program - Preceptor in Expository Writing - OFFER ACCEPTED,2012,http://academicpositions.harvard.edu/postings/4338 | http://academicpositions.harvard.edu/postings/4338 | http://www.writingprogram.fas.harvard.edu/,Unknown,Rhetoric/Composition,Wiki,http://academicpositions.harvard.edu/postings/4338 | http://academicpositions.harvard.edu/postings/4338 | http://www.writingprogram.fas.harvard.edu/,Rhetoric/Composition,2443
Princeton University - Lectureships in the Princeton Writing Program - OFFER MADE,2012,http://www.princeton.edu/writing | https://jobs.princeton.edu/applicants/Central?quickFind=63081&jtsrc=www.higheredjobs.com&jtrfr=www.peopleadmin.com&adorig=PA | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175692057&Title=Lecturer,Unknown,Rhetoric/Composition,Wiki,http://www.princeton.edu/writing | https://jobs.princeton.edu/applicants/Central?quickFind=63081&jtsrc=www.higheredjobs.com&jtrfr=www.peopleadmin.com&adorig=PA | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175692057&Title=Lecturer,Rhetoric/Composition,2443
"University of California, Santa Barbara - Lectureships in Composition - PRIORITY DEADLINE PASSED",2012,,Unknown,Rhetoric/Composition,Wiki,,Rhetoric/Composition,2443
Milwaukee School of Engineering (WI) - Full-Time General Studies Faculty,2013,https://apply.interfolio.com/24443,Unknown,Rhetoric/Composition,Wiki,https://apply.interfolio.com/24443,Rhetoric/Composition,2443
Minot State University (ND) - English Tenure Track: Writing,2013,http://www.minotstateu.edu/hr/jobs.shtml | http://www.minotstateu.edu/hr/jobs_01.shtml | https://chroniclevitae.com/jobs/0000833613-01#sthash.WGGzxqvn.dpuf,Unknown,Rhetoric/Composition,Wiki,http://www.minotstateu.edu/hr/jobs.shtml | http://www.minotstateu.edu/hr/jobs_01.shtml | https://chroniclevitae.com/jobs/0000833613-01#sthash.WGGzxqvn.dpuf,Rhetoric/Composition,2443
University of Maryland University College Europe - Full-Time Collegiate Faculty Teaching Opportunities in Asia and Europe,2013,http://www.asia.umuc.edu/employment/faculty.cfm | http://www.ed.umuc.edu/undergrad/teach/index.html | mailto:svp-overseas@umuc.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175847837&Title=Full%2DTime%20Collegiate%20Faculty%20Teaching%20Opportunities%20in%20Asia%20and%20Europe,Unknown,Rhetoric/Composition,Wiki,http://www.asia.umuc.edu/employment/faculty.cfm | http://www.ed.umuc.edu/undergrad/teach/index.html | mailto:svp-overseas@umuc.edu | http://www.higheredjobs.com/faculty/details.cfm?JobCode=175847837&Title=Full%2DTime%20Collegiate%20Faculty%20Teaching%20Opportunities%20in%20Asia%20and%20Europe,Rhetoric/Composition,2443
American University of Sharjah (United Arab Emirates) - Faculty Positions in Dept. of Writing Studies,2013,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175824314&Title=Faculty%20Position%20in%20the%20Department%20of%20Writing%20Studies,Unknown,Rhetoric/Composition,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175824314&Title=Faculty%20Position%20in%20the%20Department%20of%20Writing%20Studies,Rhetoric/Composition,2443
Carilion Clinic / Jefferson College of Health Sciences - Full-Time Faculty Position in English,2013,http://www.Click2Apply.net/pfgzvqw | https://apply.interfolio.com/23803,Unknown,Rhetoric/Composition,Wiki,http://www.Click2Apply.net/pfgzvqw | https://apply.interfolio.com/23803,Rhetoric/Composition,2443
Quest University Canada - Rhetoric Coordinator - PHONE INTERVIEW SCHEDULED,2013,mailto:rhetoric@questu.ca | https://www.h-net.org/jobs/job_display.php?id=47912,Unknown,Rhetoric/Composition,Wiki,mailto:rhetoric@questu.ca | https://www.h-net.org/jobs/job_display.php?id=47912,Rhetoric/Composition,2443
Indiana University of Pennsylvania (PA) - Composition and Assessment - CAMPUS VISIT STAGE,2015,https://iup.peopleadmin.com/postings/1679 | http://www.iup.edu/page.aspx?id=184502 | http://www.iup.edu/page.aspx?id=184502 | http://www.iup.edu/employment,Unknown,Rhetoric/Composition,Wiki,https://iup.peopleadmin.com/postings/1679 | http://www.iup.edu/page.aspx?id=184502 | http://www.iup.edu/page.aspx?id=184502 | http://www.iup.edu/employment,Rhetoric/Composition,2443
New York University (NY) - Full-Time Faculty - Liberal Studies (Writing Studies) - Non-TT,2015,http://www.nyu.edu/projects/mediamosaic/1516LSJobs/,Unknown,Rhetoric/Composition,Wiki,http://www.nyu.edu/projects/mediamosaic/1516LSJobs/,Rhetoric/Composition,2443
Old Dominion University (VA) - Open Rank - Writing Studies,2015,https://www.higheredjobs.com/faculty/details.cfm?JobCode=176137427&Title=Writing%20Studies%20%E2%80%93%20Open%20Rank,Unknown,Rhetoric/Composition,Wiki,https://www.higheredjobs.com/faculty/details.cfm?JobCode=176137427&Title=Writing%20Studies%20%E2%80%93%20Open%20Rank,Rhetoric/Composition,2443
University of Connecticut (CT) - Aetna Chair of Writing,2015,http://www.english.uconn.edu/ | https://academicjobsonline.org/ajo/jobs/6004,Unknown,Rhetoric/Composition,Wiki,http://www.english.uconn.edu/ | https://academicjobsonline.org/ajo/jobs/6004,Rhetoric/Composition,2443
University of Prince Edward Island (CAN) - Specialist in Professional/Technical Writing and Digital Rhetorics/Humanities - POSITION FILLED,2015,mailto:gdoran@upei.ca | http://accute.ca/2015/06/18/job-specialist-in-professionaltechnical-writing-and-digital-rhetoricshumanities-at-upei-deadline-july-17-2015/,Unknown,Rhetoric/Composition,Wiki,mailto:gdoran@upei.ca | http://accute.ca/2015/06/18/job-specialist-in-professionaltechnical-writing-and-digital-rhetoricshumanities-at-upei-deadline-july-17-2015/,Rhetoric/Composition,2443
Arizona State University (AZ) - Honors/Open Field/Open Rank (Renewable/Non TT),2015,https://barretthonors.asu.edu/academics/hon-171-human-event/,Unknown,Rhetoric/Composition,Wiki,https://barretthonors.asu.edu/academics/hon-171-human-event/,Rhetoric/Composition,2443
University of California Santa Barbara (CA) - Writing Program Lectureship in Composition (2 yr. appt. - renewable) - OFFERS ACCEPTED,2015,https://recruit.ap.ucsb.edu/apply/JPF00562 | https://www.higheredjobs.com/faculty/details.cfm?JobCode=176133541&Title=Writing%20Program%20Lectureship%20in%20Composition,Unknown,Rhetoric/Composition,Wiki,https://recruit.ap.ucsb.edu/apply/JPF00562 | https://www.higheredjobs.com/faculty/details.cfm?JobCode=176133541&Title=Writing%20Program%20Lectureship%20in%20Composition,Rhetoric/Composition,2443
Bloomsburg University (PA) - 1 yr. Position in FY Writing / Linguistics,2016,http://agency.governmentjobs.com/bloomuedu/default.cfm | https://chroniclevitae.com/jobs/0000364998-01#sthash.gANLpbaJ.dpuf,Unknown,Rhetoric/Composition,Wiki,http://agency.governmentjobs.com/bloomuedu/default.cfm | https://chroniclevitae.com/jobs/0000364998-01#sthash.gANLpbaJ.dpuf,Rhetoric/Composition,2443
Harvard University (MA) - Preceptor in Expository Writing: Introductory Writing Courses,2016,http://academicpositions.harvard.edu/postings/7307,Unknown,Rhetoric/Composition,Wiki,http://academicpositions.harvard.edu/postings/7307,Rhetoric/Composition,2443
Harvard University (MA) - Preceptor in Expository Writing: Expository 20 - CAMPUS INTERVIEW STAGE,2016,http://academicpositions.harvard.edu/postings/7306,Unknown,Rhetoric/Composition,Wiki,http://academicpositions.harvard.edu/postings/7306,Rhetoric/Composition,2443
"Oregon Institute of Technology (OR) - Composition and Technical Writing Faculty, Online",2016,http://www.oit.edu/faculty-staff/human-resources/employment/job-posting?JobID=17-66025,Unknown,Rhetoric/Composition,Wiki,http://www.oit.edu/faculty-staff/human-resources/employment/job-posting?JobID=17-66025,Rhetoric/Composition,2443
Columbia College Chicago - Emerging Poet-in-Residence,2011,https://employment.colum.edu/ | http://www.colum.edu/ | http://chronicle.com/jobs/0000668638-01,Unknown,CreativeWriting,Wiki,https://employment.colum.edu/ | http://www.colum.edu/ | http://chronicle.com/jobs/0000668638-01,CreativeWriting,1488
East Carolina University,2011,http://www.insidehighered.com/career/seekers/posts/view/150240,Unknown,CreativeWriting,Wiki,http://www.insidehighered.com/career/seekers/posts/view/150240,CreativeWriting,1488
Middlebury College,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
University of Nebraska-Lincoln,2011,http://chronicle.com/jobs/0000646774-01,Unknown,CreativeWriting,Wiki,http://chronicle.com/jobs/0000646774-01,CreativeWriting,1488
Baldwin-Wallace College,2011,http://chronicle.com/jobs/0000655763-01 | http://bw.edu/quickfacts/diversity),Unknown,CreativeWriting,Wiki,http://chronicle.com/jobs/0000655763-01 | http://bw.edu/quickfacts/diversity),CreativeWriting,1488
Fordham University (2 positions),2011,http://www.fordham.edu/writerinresidence,Unknown,CreativeWriting,Wiki,http://www.fordham.edu/writerinresidence,CreativeWriting,1488
New College of Florida,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Northern Michigan University (Fiction),2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175481421,Unknown,CreativeWriting,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175481421,CreativeWriting,1488
Pomona College,2011,mailto:crankine@pomona.edu,Unknown,CreativeWriting,Wiki,mailto:crankine@pomona.edu,CreativeWriting,1488
Rhode Island College,2011,https://employment.ric.edu/,Unknown,CreativeWriting,Wiki,https://employment.ric.edu/,CreativeWriting,1488
Rollins College,2011,http://chronicle.com/jobs/0000654230-01/ | https://www.rollinsjobs.com/,Unknown,CreativeWriting,Wiki,http://chronicle.com/jobs/0000654230-01/ | https://www.rollinsjobs.com/,CreativeWriting,1488
Saint Lawrence University (NY),2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Texas State University-San Marcos,2011,http://facultyrecords.provost.txstate.edu/faculty-employment/faculty-employment/2011-12.htm,Unknown,CreativeWriting,Wiki,http://facultyrecords.provost.txstate.edu/faculty-employment/faculty-employment/2011-12.htm,CreativeWriting,1488
"University of Cincinnati (Open Rank, Fiction)",2011,https://www.jobsatuc.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1283787081552,Unknown,CreativeWriting,Wiki,https://www.jobsatuc.com/applicants/jsp/shared/frameset/Frameset.jsp?time=1283787081552,CreativeWriting,1488
University of Mississippi,2011,https://jobs.olemiss.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1285256310409 | http://www.olemiss.edu/depts/english/mfa | mailto:bafennel@olemiss.edu,Unknown,CreativeWriting,Wiki,https://jobs.olemiss.edu/applicants/jsp/shared/frameset/Frameset.jsp?time=1285256310409 | http://www.olemiss.edu/depts/english/mfa | mailto:bafennel@olemiss.edu,CreativeWriting,1488
Western Kentucky University,2011,mailto:david.j.bell@wku.edu,Unknown,CreativeWriting,Wiki,mailto:david.j.bell@wku.edu,CreativeWriting,1488
Allegheny College,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
"Antioch University, Los Angeles",2011,http://www.antiochla.edu/media/employment/MFA_Core_Faculty_CNF_Annc.pdf,Unknown,CreativeWriting,Wiki,http://www.antiochla.edu/media/employment/MFA_Core_Faculty_CNF_Annc.pdf,CreativeWriting,1488
Northern Michigan University (Nonfiction),2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175481430,Unknown,CreativeWriting,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175481430,CreativeWriting,1488
Old Dominion University,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175474708,Unknown,CreativeWriting,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175474708,CreativeWriting,1488
University of Louisville,2011,http://www.louisville.edu/jobs | mailto:sbgonz01@louisville.edu,Unknown,CreativeWriting,Wiki,http://www.louisville.edu/jobs | mailto:sbgonz01@louisville.edu,CreativeWriting,1488
Utica College,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175478588 | http://www.utica.edu/finance/hr/jobs.cfm?action=details&id=1491,Unknown,CreativeWriting,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175478588 | http://www.utica.edu/finance/hr/jobs.cfm?action=details&id=1491,CreativeWriting,1488
Deakin University (Australia),2011,https://www.deakin.edu.au/jobs | http://chronicle.com/jobs/0000652542-01/ | https://www.deakin.edu.au/jobs,Unknown,CreativeWriting,Wiki,https://www.deakin.edu.au/jobs | http://chronicle.com/jobs/0000652542-01/ | https://www.deakin.edu.au/jobs,CreativeWriting,1488
Gettysburg College,2011,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175480239,Unknown,CreativeWriting,Wiki,http://www.higheredjobs.com/faculty/details.cfm?JobCode=175480239,CreativeWriting,1488
Gilman School,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Grand Valley State University,2011,https://www.gvsujobs.org/applicants/jsp/shared/frameset/Frameset.jsp?time=1285595275180,Unknown,CreativeWriting,Wiki,https://www.gvsujobs.org/applicants/jsp/shared/frameset/Frameset.jsp?time=1285595275180,CreativeWriting,1488
Mercy College (NY),2011,https://jobs.mercy.edu/,Unknown,CreativeWriting,Wiki,https://jobs.mercy.edu/,CreativeWriting,1488
Otis College of Art and Design (CA),2011,http://www.otis.edu/academics/graduate_writing/index.html,Unknown,CreativeWriting,Wiki,http://www.otis.edu/academics/graduate_writing/index.html,CreativeWriting,1488
Rutgers-Newark University,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
POETRY JOB OFFERS,2011,http://submitit.blogspot.com/2011/04/missions-accomplished.html,Unknown,CreativeWriting,Wiki,http://submitit.blogspot.com/2011/04/missions-accomplished.html,CreativeWriting,1488
NONFICTION JOB OFFERS,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
OPEN JOB OFFERS,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Campus Visits / Poetry,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Campus Visits - Fiction,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Campus Visits - Non-Fiction,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
Campus Visits - Open,2011,,Unknown,CreativeWriting,Wiki,,CreativeWriting,1488
